students_capped,price_clean,is_free,discount_rate_actual,source,students_log,price_log,has_discount
1103,2520.0,False,0.0,Shaguf,7.00669522683704,7.83241092718792,False
101,31.0,False,62.65,Shaguf,4.624972813284271,3.4657359027997265,True
111,42.0,False,57.86,Shaguf,4.718498871295094,3.7612001156935624,True
113,43.0,False,56.86,Shaguf,4.736198448394496,3.784189633918261,True
2,1360.0,False,0.0,Shaguf,1.0986122886681096,7.215975002651466,False
101,18.0,False,75.34,Shaguf,4.624972813284271,2.9444389791664403,True
105,32.0,False,67.78,Shaguf,4.663439094112067,3.4965075614664802,True
2,52.0,False,43.89,Shaguf,1.0986122886681096,3.970291913552122,True
1120,2994.0,False,0.0,Shaguf,7.02197642307216,8.00469951054955,False
201,13.0,False,95.0,Shaguf,5.308267697401205,2.639057329615259,True
201,20.0,False,99.33,Shaguf,5.308267697401205,3.044522437723423,True
101,33.0,False,60.24,Shaguf,4.624972813284271,3.5263605246161616,True
2,1360.0,False,0.0,Shaguf,1.0986122886681096,7.215975002651466,False
254,31.0,False,98.96,Shaguf,5.541263545158426,3.4657359027997265,True
212,28.0,False,71.91,Shaguf,5.3612921657094255,3.367295829986474,True
101,25.0,False,70.0,Shaguf,4.624972813284271,3.258096538021482,True
111,10.0,False,88.85,Shaguf,4.718498871295094,2.3978952727983707,True
220,30.0,False,74.21,Shaguf,5.3981627015177525,3.4339872044851463,True
230,27.0,False,76.86,Shaguf,5.442417710521793,3.332204510175204,True
2,19.0,False,85.71,Shaguf,1.0986122886681096,2.995732273553991,True
1,12.0,False,90.98,Shaguf,0.6931471805599453,2.5649493574615367,True
201,65.0,False,11.36,Shaguf,5.308267697401205,4.189654742026425,True
1,27.0,False,73.0,Shaguf,0.6931471805599453,3.332204510175204,True
105,19.0,False,75.22,Shaguf,4.663439094112067,2.995732273553991,True
250,37.0,False,67.35,Shaguf,5.5254529391317835,3.6375861597263857,True
1140,33.0,False,60.4,Shaguf,7.039660349862076,3.5263605246161616,True
201,9.0,False,99.64,Shaguf,5.308267697401205,2.302585092994046,True
1011,68.0,False,32.89,Shaguf,6.919683849847411,4.23410650459726,True
1,20.0,False,79.93,Shaguf,0.6931471805599453,3.044522437723423,True
1331,23.0,False,30.3,Shaguf,7.194436851100335,3.1780538303479458,True
362,24.0,False,99.2,Shaguf,5.8944028342648505,3.2188758248682006,True
1,88.0,False,24.57,Shaguf,0.6931471805599453,4.48863636973214,True
102,14.0,False,85.95,Shaguf,4.634728988229636,2.70805020110221,True
101,6.0,False,91.0,Shaguf,4.624972813284271,1.9459101490553132,True
2,20.0,False,80.0,Shaguf,1.0986122886681096,3.044522437723423,True
111,16.0,False,87.97,Shaguf,4.718498871295094,2.833213344056216,True
1101,35.0,False,87.46,Shaguf,7.00488198971286,3.58351893845611,True
202,30.0,False,59.09,Shaguf,5.313205979041787,3.4339872044851463,True
1,19.0,False,81.0,Shaguf,0.6931471805599453,2.995732273553991,True
252,16.0,False,79.04,Shaguf,5.53338948872752,2.833213344056216,True
2,29.0,False,75.07,Shaguf,1.0986122886681096,3.4011973816621555,True
121,21.0,False,79.0,Shaguf,4.804021044733257,3.091042453358316,True
2,14.0,False,83.2,Shaguf,1.0986122886681096,2.70805020110221,True
1,23.0,False,72.4,Shaguf,0.6931471805599453,3.1780538303479458,True
401,12.0,False,84.28,Shaguf,5.996452088619021,2.5649493574615367,True
1151,16.0,False,86.29,Shaguf,7.049254841255837,2.833213344056216,True
328,15.0,False,84.95,Shaguf,5.796057750765372,2.772588722239781,True
2,24.0,False,99.14,Shaguf,1.0986122886681096,3.2188758248682006,True
310,21.0,False,91.0,Shaguf,5.739792912179234,3.091042453358316,True
101,11.0,False,90.57,Shaguf,4.624972813284271,2.4849066497880004,True
1331,55.0,False,33.73,Shaguf,7.194436851100335,4.02535169073515,True
121,15.0,False,85.0,Shaguf,4.804021044733257,2.772588722239781,True
216,8.0,False,99.73,Shaguf,5.37989735354046,2.1972245773362196,True
203,14.0,False,84.39,Shaguf,5.318119993844216,2.70805020110221,True
111,22.0,False,83.5,Shaguf,4.718498871295094,3.1354942159291497,True
2,31.0,False,66.18,Shaguf,1.0986122886681096,3.4657359027997265,True
2,15.0,False,84.95,Shaguf,1.0986122886681096,2.772588722239781,True
100,11.0,False,88.96,Shaguf,4.61512051684126,2.4849066497880004,True
2,54.0,False,34.94,Shaguf,1.0986122886681096,4.007333185232471,True
1,76.0,False,23.75,Shaguf,0.6931471805599453,4.343805421853684,True
1,12.0,False,83.56,Shaguf,0.6931471805599453,2.5649493574615367,True
213,6.0,False,99.8,Shaguf,5.365976015021851,1.9459101490553132,True
120,21.0,False,57.72,Shaguf,4.795790545596741,3.091042453358316,True
101,12.0,False,91.0,Shaguf,4.624972813284271,2.5649493574615367,True
2,1600.0,False,0.0,Shaguf,1.0986122886681096,7.3783837129967145,False
385,10.0,False,99.55,Shaguf,5.955837369464831,2.3978952727983707,True
101,12.0,False,92.39,Shaguf,4.624972813284271,2.5649493574615367,True
212,11.0,False,83.42,Shaguf,5.3612921657094255,2.4849066497880004,True
360,18.0,False,78.4,Shaguf,5.8888779583328805,2.9444389791664403,True
1331,23.0,False,80.29,Shaguf,7.194436851100335,3.1780538303479458,True
2,13.0,False,80.4,Shaguf,1.0986122886681096,2.639057329615259,True
2,6.0,False,91.78,Shaguf,1.0986122886681096,1.9459101490553132,True
281,18.0,False,81.94,Shaguf,5.641907070938114,2.9444389791664403,True
311,15.0,False,72.73,Shaguf,5.7430031878094825,2.772588722239781,True
1140,35.0,False,44.73,Shaguf,7.039660349862076,3.58351893845611,True
231,30.0,False,54.77,Shaguf,5.44673737166631,3.4339872044851463,True
224,30.0,False,89.97,Shaguf,5.41610040220442,3.4339872044851463,True
3,61.0,False,46.96,Shaguf,1.3862943611198906,4.127134385045092,True
301,27.0,False,67.47,Shaguf,5.71042701737487,3.332204510175204,True
2,13.0,False,88.86,Shaguf,1.0986122886681096,2.639057329615259,True
1,15.0,False,75.68,Shaguf,0.6931471805599453,2.772588722239781,True
1104,14.0,False,86.0,Shaguf,7.007600613951853,2.70805020110221,True
111,15.0,False,84.95,Shaguf,4.718498871295094,2.772588722239781,True
231,25.0,False,78.57,Shaguf,5.44673737166631,3.258096538021482,True
211,9.0,False,99.55,Shaguf,5.356586274672012,2.302585092994046,True
151,13.0,False,82.97,Shaguf,5.0238805208462765,2.639057329615259,True
1,14.0,False,72.0,Shaguf,0.6931471805599453,2.70805020110221,True
223,3.0,False,99.9,Shaguf,5.4116460518550396,1.3862943611198906,True
223,2.0,False,99.93,Shaguf,5.4116460518550396,1.0986122886681096,True
230,17.0,False,48.48,Shaguf,5.442417710521793,2.8903717578961645,True
231,110.0,False,44.72,Shaguf,5.44673737166631,4.709530201312334,True
1,11.0,False,99.56,Shaguf,0.6931471805599453,2.4849066497880004,True
211,110.0,False,44.72,Shaguf,5.356586274672012,4.709530201312334,True
201,110.0,False,44.72,Shaguf,5.308267697401205,4.709530201312334,True
3,8.0,False,99.6,Shaguf,1.3862943611198906,2.1972245773362196,True
201,11.0,False,99.45,Shaguf,5.308267697401205,2.4849066497880004,True
221,14.0,False,91.76,Shaguf,5.402677381872279,2.70805020110221,True
